source,target,relation,weight,quantity,unit_value,date
DOCS:CONSTRUCTORA NORTE|2024-01-10,PRODUCT:SKU-001,CONTAINS,379.8,2.0,189.9,2024-01-10
DOCS:CONSTRUCTORA NORTE|2024-01-10,CLIENT:CONSTRUCTORA NORTE,SOLD_TO,1.0,0.0,0.0,2024-01-10
DOCS:CONSTRUCTORA NORTE|2024-01-10,DATE:2024-01-10,ON_DATE,1.0,0.0,0.0,2024-01-10
DOCS:MAESTRO PEREZ|2024-01-12,PRODUCT:SKU-002,CONTAINS,825.0,30.0,27.5,2024-01-12
DOCS:MAESTRO PEREZ|2024-01-12,CLIENT:MAESTRO PEREZ,SOLD_TO,1.0,0.0,0.0,2024-01-12
DOCS:MAESTRO PEREZ|2024-01-12,DATE:2024-01-12,ON_DATE,1.0,0.0,0.0,2024-01-12
DOCS:SERVICIOS LIMA|2024-01-15,PRODUCT:SKU-004,CONTAINS,210.0,5.0,42.0,2024-01-15
DOCS:SERVICIOS LIMA|2024-01-15,CLIENT:SERVICIOS LIMA,SOLD_TO,1.0,0.0,0.0,2024-01-15
DOCS:SERVICIOS LIMA|2024-01-15,DATE:2024-01-15,ON_DATE,1.0,0.0,0.0,2024-01-15
DOCS:FERRETERIA SOL|2024-01-18,PRODUCT:SKU-003,CONTAINS,104.7,3.0,34.9,2024-01-18
DOCS:FERRETERIA SOL|2024-01-18,CLIENT:FERRETERIA SOL,SOLD_TO,1.0,0.0,0.0,2024-01-18
DOCS:FERRETERIA SOL|2024-01-18,DATE:2024-01-18,ON_DATE,1.0,0.0,0.0,2024-01-18
DOCS:CONSTRUCTORA NORTE|2024-01-20,PRODUCT:SKU-999,CONTAINS,15.0,1.0,15.0,2024-01-20
DOCS:CONSTRUCTORA NORTE|2024-01-20,CLIENT:CONSTRUCTORA NORTE,SOLD_TO,1.0,0.0,0.0,2024-01-20
DOCS:CONSTRUCTORA NORTE|2024-01-20,DATE:2024-01-20,ON_DATE,1.0,0.0,0.0,2024-01-20
